id,name,group,group_title,status,functionality,use_when,ageint_topic,verbs,inputs,outputs,tags,harnesses,references_count,defensive_boundary,evidence_discipline,confidence_anchor,unsafe_redirect,safe_defensive_pattern,source_path
sat.outside_in_thinking,Outside-In Thinking,sat,Structured Analytic Techniques,implemented,Start from the broad external forces (PESTLE) shaping the issue before the specifics.,outside-in thinking; PESTLE analysis; start from macro forces,structured-analytic-techniques,read; reason; write,focal_issue; prior_assessments; environmental_scan,outside_in_analysis,cognitive-security; sat; contextual-analysis,claude; codex; hermes,3,"Use Outside-In Thinking only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Outside-In Thinking, anchor every macro force, mezzo constraint, and reweighted focal hypothesis to concrete evidence — an environmental-scan entry, a prior-assessment passage, or an observed condition — and show the causal path from each cited force to the focal issue, treating any factor without such evidence as speculation to be set aside rather than counted.","High for Outside-In Thinking: each PESTLE macro force in the inventory is linked to the focal issue by at least one traced causal path, the mezzo-level constraints connect those forces to actor behavior, the exposed assumptions are explicitly marked confirmed or challenged, and no unresolved contradiction in the macro scan would change the focal-level implications.","Unsafe: 'Use Outside-In Thinking outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Outside-In Thinking to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with focal issue, prior assessments, and environmental scan' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/outside_in_thinking/SKILL.md
sat.causal_flow_diagramming,Causal Flow Diagramming,sat,Structured Analytic Techniques,implemented,Trace cause-effect chains and feedback loops driving a system's behavior.,causal flow diagram; causal loop diagram; trace cause and effect,structured-analytic-techniques,read; reason; write,system_description; known_variables; scope_boundary,causal_flow_diagram; loop_inventory; leverage_point_assessment,cognitive-security; sat; systems-thinking; causal-analysis,claude; codex; hermes,5,"Use Causal Flow Diagramming only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Causal Flow Diagramming, tie each variable, polarity-labeled link, and identified loop to concrete evidence from the system description or observed behavior-over-time, treat any contested polarity as a flagged analytic uncertainty, and justify every leverage-point recommendation with the mechanism and the unintended-consequence risk that evidence supports.","High for Causal Flow Diagramming: every causal link carries a justified polarity, each feedback loop is correctly typed from its negative-link count, delays and multi-step paths are verified link by link, the structure is corroborated by independent observations, and no unresolved contradiction would change the ranked leverage points.","Unsafe: 'Use Causal Flow Diagramming outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Causal Flow Diagramming to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with system description, known variables, and scope boundary' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/causal_flow_diagramming/SKILL.md
sat.premortem_analysis,Premortem Analysis,sat,Structured Analytic Techniques,implemented,Assume the conclusion failed; work backward to find what would have caused it.,premortem; assume this failed; what could go wrong,structured-analytic-techniques,read; reason; write,plan_or_assessment; time_horizon,failure_modes,cognitive-security; sat; challenge-analysis,claude; codex; hermes,3,"Use Premortem Analysis only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Premortem Analysis, bind each failure cause, plausibility-by-impact score, and proposed mitigation to concrete evidence from the plan or assessment under review and to the assumption it would break, and pair every retained cause with an observable leading indicator, treating any cause that lacks a detectable signal as un-actionable rather than confirmed.","High for Premortem Analysis: each top-ranked failure cause carries a plausibility-by-impact score grounded in the plan's actual dependencies, every retained cause has a defined leading indicator and mitigation, the most dangerous assumption breaks are separately surfaced, and no unresolved contradiction in the failure logic would change which causes warrant a plan revision.","Unsafe: 'Use Premortem Analysis outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Premortem Analysis to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with plan or assessment, and time horizon' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/premortem_analysis/SKILL.md
sat.devils_advocacy,Devil's Advocacy,sat,Structured Analytic Techniques,implemented,Build the strongest principled case against the consensus to test its robustness.,devil's advocate; challenge the consensus; stress-test the lead judgment,structured-analytic-techniques,read; reason; write,consensus_judgment; evidence_base,counter_case; robustness_verdict,cognitive-security; sat; challenge-analysis; heuer,claude; codex; hermes,1,"Use Devil's Advocacy only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Devil's Advocacy, tie the counter-case and the robustness verdict to specific evidence from the consensus judgment and its evidence base, keep merely-assumed, single-sourced, and contradictory items in distinct categories rather than collapsing them, and name the new collection whose evidence would resolve the dispute.","High for Devil's Advocacy: the counter-case is the strongest good-faith reading a capable opposing analyst would mount, the consensus's load-bearing assumptions and evidence soft spots are surfaced from independent corroboration, the robustness verdict honestly reflects whether the consensus held, and no unresolved contradiction would change that verdict.","Unsafe: 'Use Devil's Advocacy outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Devil's Advocacy to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with consensus judgment, and evidence base' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/devils_advocacy/SKILL.md
sat.team_a_team_b,Team A / Team B,sat,Structured Analytic Techniques,implemented,Pit two teams' competing interpretations against each other in structured debate.,two competing interpretations; team A team B; structured debate,structured-analytic-techniques,ask; read; reason; write,shared_evidence; hypothesis_a; hypothesis_b; context,team_debate_summary,cognitive-security; sat; competitive-analysis; challenge-analysis,claude; codex; hermes,3,"Use Team A / Team B only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Team A / Team B, tie each team's core argument, every conceded weakness, and the final adjudication to concrete evidence from the shared evidence base, citing the specific item that discriminates between hypothesis A and hypothesis B, and label which points rest on assumption rather than observed evidence.","High for Team A / Team B: each team's strongest case is built in good faith from the shared evidence base rather than a strawman, the adjudication of which hypothesis is better supported holds when the most diagnostic evidence item is reweighted, and no unresolved contradiction in that evidence would reverse the verdict.","Unsafe: 'Use Team A / Team B outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Team A / Team B to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with shared evidence, hypothesis a, and hypothesis b' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/team_a_team_b/SKILL.md
sat.structured_self_critique,Structured Self-Critique,sat,Structured Analytic Techniques,implemented,Apply a checklist of challenge questions to one's own analysis before release.,review my own analysis; self-critique before release; check my reasoning,structured-analytic-techniques,read; reason; write,analysis_draft; key_judgments; supporting_evidence,critique_report,cognitive-security; sat; self-assessment; quality-control,claude; codex; hermes,3,"Use Structured Self-Critique only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Structured Self-Critique, bind every flagged weakness and confidence adjustment to concrete evidence from the analysis draft, its key judgments, and its supporting sources, citing the specific claim or gap that triggered the annotation, and name what evidence would rule out each surviving alternative explanation.","High for Structured Self-Critique: every challenge-checklist question received an explicit answer grounded in the draft's own evidence, the identified weaknesses and alternative explanations are corroborated across the supporting sources, and no unresolved contradiction in the critique would change which revisions the report deems mandatory before release.","Unsafe: 'Use Structured Self-Critique outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Structured Self-Critique to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with analysis draft, key judgments, and supporting evidence' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/structured_self_critique/SKILL.md
sat.what_if_analysis,What-If Analysis,sat,Structured Analytic Techniques,implemented,Posit a surprising event as already true and reason out its precursors and implications.,what if this happened; assume this is already true; low probability high impact scenario,structured-analytic-techniques,read; reason; write,scenario_posit; current_context; time_horizon,what_if_report,cognitive-security; sat; scenario-analysis; warning-analysis,claude; codex; hermes,3,"Use What-If Analysis only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For What-If Analysis, bind every precondition, causal pathway, and indicator to concrete evidence from the scenario posit, current context, and time horizon, citing which existing evidence is consistent with each pathway, and justify the revised probability with the evidence the backward-reasoning surfaced rather than prevailing mindset.","High for What-If Analysis: the enumerated preconditions and causal pathways are each consistent with current evidence, the observable indicators derived from them are independently checkable, and the revised probability estimate rests on reasoning robust enough that no unresolved contradiction in the baseline would change whether the posited scenario deserves more weight.","Unsafe: 'Use What-If Analysis outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use What-If Analysis to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with scenario posit, current context, and time horizon' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/what_if_analysis/SKILL.md
cognitive_security.narrative_threat_assessment,Narrative Threat Assessment,cognitive_security,Cognitive Security,implemented,"Characterize a narrative's intent, mechanics, reach, and harm potential as a cognitive threat.",narrative threat assessment; is this narrative a threat; assess this narrative,cognitive-security,read; reason; search; write,narrative_text; context,threat_assessment; defensive_recommendations,cognitive-security; influence-operations; narrative; defense,claude; codex; hermes,2,"Use Narrative Threat Assessment only for cognitive-security defense: recognize, assess, document, or defend audiences, decision-makers, and public discourse. Do not use this skill to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation.","For Narrative Threat Assessment, bind every captured claim, identified lever, classified technique, and harm rating to concrete evidence — a quoted passage held as object of study, an observed source, a circulation timestamp, or a prior debunk — and preserve credible alternatives wherever that evidence underdetermines intent or attribution.","High for Narrative Threat Assessment: the captured claims, audience levers, classified manipulation techniques, provenance, and rated harm each rest on independent evidence from the narrative text and circulation context, the organic-versus-coordinated reading survives calibrated scrutiny, and no unresolved contradiction would change the harm rating or the defensive recommendations.","Unsafe: 'Use Narrative Threat Assessment outputs to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Narrative Threat Assessment to assess supplied material for manipulation indicators and recommend resilience measures with narrative text, and context' -> produce bounded findings with evidence and uncertainty labels.",skills/cognitive_security/narrative_threat_assessment/SKILL.md
cognitive_security.source_credibility_evaluation,Source Credibility Evaluation,cognitive_security,Cognitive Security,implemented,Grade a source on reliability and a claim on credibility using the Admiralty/NATO scale.,source credibility; how reliable is this source; admiralty code,cognitive-security,read; reason; search; write,source; claim; corroboration,reliability_grade; credibility_grade; usage_bound,cognitive-security; source-evaluation; admiralty-code; verification,claude; codex; hermes,1,"Use Source Credibility Evaluation only for cognitive-security defense: recognize, assess, document, or defend audiences, decision-makers, and public discourse. Do not use this skill to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation.","For Source Credibility Evaluation, bind the reliability letter, the credibility number, and the usage bound to concrete evidence, naming the confirming, contradicting, or absent independent sources for the specific claim and keeping the source-judging evidence separate from the claim-judging evidence rather than letting one stand in for the other.","High for Source Credibility Evaluation: the source-reliability letter and the information-credibility number are each justified by distinct evidence — proximity, track record, motive, and independence for the letter; independent confirmation, plausibility, and consistency for the number — and no unresolved contradiction would change the combined grade or the bound it places on downstream use.","Unsafe: 'Use Source Credibility Evaluation outputs to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Source Credibility Evaluation to assess supplied material for manipulation indicators and recommend resilience measures with source, claim, and corroboration' -> produce bounded findings with evidence and uncertainty labels.",skills/cognitive_security/source_credibility_evaluation/SKILL.md
cognitive_security.manipulation_technique_identification,Manipulation Technique Identification,cognitive_security,Cognitive Security,implemented,Name the specific persuasion/manipulation techniques in a message or campaign.,manipulation technique; what persuasion tactics are being used here; identify the influence techniques in this,cognitive-security,read; reason; write,content; target_audience; distribution_context,technique_catalogue; analysis_narrative,cognitive-security; cognitive_security; influence-operations; persuasion-analysis,claude; codex; hermes,6,"Use Manipulation Technique Identification only for cognitive-security defense: recognize, assess, document, or defend audiences, decision-makers, and public discourse. Do not use this skill to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation.","For Manipulation Technique Identification, bind every named technique, potency estimate, and targeted-vulnerability claim to concrete evidence — a specific passage or described element of the content — and assign a certain, probable, or possible confidence label so an ambiguous reading is never presented as established.","High for Manipulation Technique Identification: each technique in the catalogue is named from a recognized taxonomy and tied to the passage that instantiates it and the cognitive or social vulnerability it targets, the read of how techniques combine is corroborated against the content and audience context, and no unresolved contradiction would change the defensive recommendations.","Unsafe: 'Use Manipulation Technique Identification outputs to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Manipulation Technique Identification to assess supplied material for manipulation indicators and recommend resilience measures with content, target audience, and distribution context' -> produce bounded findings with evidence and uncertainty labels.",skills/cognitive_security/manipulation_technique_identification/SKILL.md
cognitive_security.prebunking_inoculation_design,Prebunking & Inoculation Design,cognitive_security,Cognitive Security,implemented,Design inoculation content that builds audience resistance before exposure to manipulation.,prebunk this narrative; design inoculation content; build resistance before they see this,cognitive-security,read; reason; write,manipulation_technique; target_audience; deployment_context; existing_prebunking_assets,inoculation_content; efficacy_check_items; design_rationale,cognitive-security; cognitive_security; inoculation; prebunking,claude; codex; hermes,5,"Use Prebunking & Inoculation Design only for cognitive-security defense: recognize, assess, document, or defend audiences, decision-makers, and public discourse. Do not use this skill to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation.","For Prebunking & Inoculation Design, bind the warning, weakened-dose example, refutation, and call-to-action to concrete evidence about the named technique and the target audience — the lever it exploits, the audience's prior exposure, and the deployment constraints — and treat any inoculation claim without such evidence as an untested assumption to be flagged.","High for Prebunking & Inoculation Design: the inoculation message, weakened-dose example, and named refutation are matched to the specific manipulation technique and audience profile, the chosen inoculation structure and dose are corroborated by the cited inoculation-theory evidence and the efficacy-check items, and no unresolved contradiction in the design rationale would change the resistance-transfer conclusion.","Unsafe: 'Use Prebunking & Inoculation Design outputs to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Prebunking & Inoculation Design to assess supplied material for manipulation indicators and recommend resilience measures with manipulation technique, target audience, and deployment context' -> produce bounded findings with evidence and uncertainty labels.",skills/cognitive_security/prebunking_inoculation_design/SKILL.md
cognitive_security.cognitive_bias_audit,Cognitive Bias Audit,cognitive_security,Cognitive Security,implemented,Scan an analysis or decision for the specific biases most likely to distort it.,cognitive bias audit; check for biases in this analysis; what biases might affect this judgment,cognitive-security,read; reason; write,analysis_or_decision; domain_context; known_pressures,bias_audit_report; priority_bias_summary,cognitive-security; cognitive_security; structured-analytic-techniques; debiasing,claude; codex; hermes,5,"Use Cognitive Bias Audit only for cognitive-security defense: recognize, assess, document, or defend audiences, decision-makers, and public discourse. Do not use this skill to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation.","For Cognitive Bias Audit, bind each identified bias to concrete evidence — a quoted passage, a stated assumption, or a described organizational pressure — pair it with a debiasing action the analyst can actually implement, and note explicitly what text-based auditing cannot reveal without observing the analytic process itself.","High for Cognitive Bias Audit: each flagged bias is anchored to a quoted passage from the analysis under review, its distortion magnitude is calibrated against domain stakes and logical path-dependence rather than asserted uniformly, the prioritized ranking is stable across the bias taxonomy, and no unresolved contradiction would change the recommended debiasing actions.","Unsafe: 'Use Cognitive Bias Audit outputs to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Cognitive Bias Audit to assess supplied material for manipulation indicators and recommend resilience measures with analysis or decision, domain context, and known pressures' -> produce bounded findings with evidence and uncertainty labels.",skills/cognitive_security/cognitive_bias_audit/SKILL.md
cognitive_security.influence_operation_mapping,Influence Operation Mapping,cognitive_security,Cognitive Security,implemented,"Map an influence operation across actors, behaviors, content, and channels (ABCD).",influence operation; coordinated inauthentic behavior; map this IO,cognitive-security,read; reason; search; write,evidence_collection; hypothesis; threat_actor_profiles,abcd_operation_map; attribution_assessment; counter_operation_brief,cognitive-security; cognitive_security; influence-operations; ABCD-framework,claude; codex; hermes,5,"Use Influence Operation Mapping only for cognitive-security defense: recognize, assess, document, or defend audiences, decision-makers, and public discourse. Do not use this skill to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation.","For Influence Operation Mapping, link every element of the ABCD map and every attribution claim to concrete evidence — a specific account artifact, a behavioral indicator, a content sample, or a distribution timing pattern — and name the alternative hypothesis that the same evidence could equally support before assigning a confidence tier.","High for Influence Operation Mapping: the ABCD decomposition and attribution rest on independent actor, behavioral, content, and distribution evidence drawn from the collected artifacts and corroborating open sources, the most plausible actor hypothesis survives the stated alternatives, and no unresolved contradiction would change the confidence tier or the counter-operation brief.","Unsafe: 'Use Influence Operation Mapping outputs to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Influence Operation Mapping to assess supplied material for manipulation indicators and recommend resilience measures with evidence collection, hypothesis, and threat actor profiles' -> produce bounded findings with evidence and uncertainty labels.",skills/cognitive_security/influence_operation_mapping/SKILL.md
cognitive_security.disinformation_campaign_analysis,Disinformation Campaign Analysis,cognitive_security,Cognitive Security,implemented,"Decompose a campaign's objectives, narratives, TTPs, and amplification structure.",disinformation campaign analysis; decompose this influence operation; map the narratives in this campaign,cognitive-security,read; reason; search; web; write,campaign_artifacts; known_context; target_audience_indicators; prior_reports,campaign_analysis_report; narrative_taxonomy_table; ttp_inventory_table,cognitive-security; cognitive_security; influence-operations; DISARM,claude; codex; hermes,7,"Use Disinformation Campaign Analysis only for cognitive-security defense: recognize, assess, document, or defend audiences, decision-makers, and public discourse. Do not use this skill to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation.","For Disinformation Campaign Analysis, bind every narrative, TTP, and attribution claim to concrete evidence — collected artifacts, timing and content-synchronization signals, or prior OSINT reporting — keep direct observation distinct from inference and from rated attribution, and state what could not be assessed from the available artifacts.","High for Disinformation Campaign Analysis: the campaign model's objectives, narrative hierarchy, actor network, and DISARM-aligned TTP inventory are each corroborated by artifacts and prior documentation, coordination signals distinguish the campaign from spontaneous virality, attribution carries an explicitly rated confidence with stated basis, and no unresolved contradiction would change the assessment.","Unsafe: 'Use Disinformation Campaign Analysis outputs to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Disinformation Campaign Analysis to assess supplied material for manipulation indicators and recommend resilience measures with campaign artifacts, known context, and target audience indicators' -> produce bounded findings with evidence and uncertainty labels.",skills/cognitive_security/disinformation_campaign_analysis/SKILL.md
cognitive_security.rumor_and_virality_assessment,Rumor & Virality Assessment,cognitive_security,Cognitive Security,implemented,"Estimate a claim's spread potential from emotional charge, ambiguity, and network fit.",how far will this spread; virality assessment; rumor spread potential,cognitive-security,read; reason; search; write,claim; originating_context; audience_profile; propagation_data,virality_assessment; factor_table,cognitive-security; cognitive_security; misinformation; virality,claude; codex; hermes,5,"Use Rumor & Virality Assessment only for cognitive-security defense: recognize, assess, document, or defend audiences, decision-makers, and public discourse. Do not use this skill to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation.","For Rumor & Virality Assessment, bind the composite score, each virality-factor rating, the trajectory estimate, and every amplifier-pathway claim to concrete evidence — the claim text, the originating context, engagement metrics, or comparable precedent — and mark any factor scored without such evidence as a low-confidence estimate with explicit caveats.","High for Rumor & Virality Assessment: the composite virality score and its per-factor ratings are each tied to the claim's wording, embedding context, and any propagation data, the score is corroborated by precedent spread rates for comparable claims, and no unresolved contradiction in the amplifier analysis would change the prioritised counter-messaging windows.","Unsafe: 'Use Rumor & Virality Assessment outputs to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Rumor & Virality Assessment to assess supplied material for manipulation indicators and recommend resilience measures with claim, originating context, and audience profile' -> produce bounded findings with evidence and uncertainty labels.",skills/cognitive_security/rumor_and_virality_assessment/SKILL.md
cognitive_security.epistemic_security_posture_review,Epistemic Security Posture Review,cognitive_security,Cognitive Security,implemented,Assess an organization's defenses for the integrity of how it knows what it knows.,epistemic security; how does our organization know what it knows; information environment audit,cognitive-security,ask; read; reason; write,organizational_profile; epistemic_practices; known_incidents,posture_scorecard; attack_surface_narrative; remediation_roadmap,cognitive-security; cognitive_security; organizational-resilience; epistemics,claude; codex; hermes,5,"Use Epistemic Security Posture Review only for cognitive-security defense: recognize, assess, document, or defend audiences, decision-makers, and public discourse. Do not use this skill to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation.","For Epistemic Security Posture Review, bind every dimension score, named attack surface, and remediation item to concrete evidence from a specific organizational document, a stated practice, a stakeholder answer, or a prior incident; where evidence is absent, mark the gap explicitly rather than assume baseline competence.","High for Epistemic Security Posture Review: the posture scorecard and ranked attack surfaces draw on a mapped epistemic architecture and corroborating evidence from the organizational profile, documented practices, and prior incidents, each dimension rating is stable across independent stakeholder accounts, and no unresolved contradiction would change the prioritized remediation roadmap.","Unsafe: 'Use Epistemic Security Posture Review outputs to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Epistemic Security Posture Review to assess supplied material for manipulation indicators and recommend resilience measures with organizational profile, epistemic practices, and known incidents' -> produce bounded findings with evidence and uncertainty labels.",skills/cognitive_security/epistemic_security_posture_review/SKILL.md
cognitive_security.trust_and_credibility_modeling,Trust & Credibility Modeling,cognitive_security,Cognitive Security,implemented,"Model how trust is established, transferred, and exploited across an information system.",trust modeling; credibility assessment; how is trust established here,cognitive-security,read; reason; search; write,information_environment; actor_set; threat_actor_context; existing_credibility_signals,trust_model; exploitation_vulnerability_audit,cognitive-security; cognitive_security; trust; credibility,claude; codex; hermes,6,"Use Trust & Credibility Modeling only for cognitive-security defense: recognize, assess, document, or defend audiences, decision-makers, and public discourse. Do not use this skill to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation.","For Trust & Credibility Modeling, bind each credibility-dimension score, trust-transfer flow, and exploitation vector to concrete evidence — observed signals, verified affiliations, source histories, or documented attack tactics — and explicitly flag any actor or pathway where the supporting evidence was insufficient for a reliable assessment.","High for Trust & Credibility Modeling: the competence, benevolence, and integrity ratings for each key actor and the mapped trust-transfer pathways are tied to observed credibility signals and documented histories, the exploitation-vulnerability audit is corroborated by known influence-operation precedents, and no unresolved contradiction would change the prioritised hardening recommendations.","Unsafe: 'Use Trust & Credibility Modeling outputs to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Trust & Credibility Modeling to assess supplied material for manipulation indicators and recommend resilience measures with information environment, actor set, and threat actor context' -> produce bounded findings with evidence and uncertainty labels.",skills/cognitive_security/trust_and_credibility_modeling/SKILL.md
cognitive_security.information_provenance_tracing,Information Provenance Tracing,cognitive_security,Cognitive Security,implemented,Trace a claim back to its origin through the chain of republication and mutation.,information provenance; where did this claim come from; trace the origin of this,cognitive-security,read; reason; search; web; write,artifact; known_context; scope,provenance_chain; origin_assessment,cognitive-security; cognitive_security; verification; osint,claude; codex; hermes,4,"Use Information Provenance Tracing only for cognitive-security defense: recognize, assess, document, or defend audiences, decision-makers, and public discourse. Do not use this skill to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation.","For Information Provenance Tracing, record every link in the chain with retrievable evidence — an archive link, a WHOIS or account-creation date, a reverse-image result, or a verbatim quote — and tie each origin and mutation claim to that evidence so the chain can be independently re-verified.","High for Information Provenance Tracing: the provenance chain reaches a retrievable earliest instance whose source authenticity is independently confirmed, each republication's mutations are documented against adjacent links, and no unresolved contradiction would change the confidence-rated origin verdict.","Unsafe: 'Use Information Provenance Tracing outputs to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Information Provenance Tracing to assess supplied material for manipulation indicators and recommend resilience measures with artifact, known context, and scope' -> produce bounded findings with evidence and uncertainty labels.",skills/cognitive_security/information_provenance_tracing/SKILL.md
cognitive_security.deepfake_synthetic_media_triage,Deepfake & Synthetic Media Triage,cognitive_security,Cognitive Security,implemented,"Triage suspected synthetic media for tell-tales and provenance signals (defensive, non-forensic).",deepfake triage; is this image real; synthetic media check,cognitive-security,read; reason; web; write,media_artifact; claim_context; available_metadata,triage_report; anomaly_log,cognitive-security; cognitive_security; synthetic-media; provenance-verification,claude; codex; hermes,6,"Use Deepfake & Synthetic Media Triage only for cognitive-security defense: recognize, assess, document, or defend audiences, decision-makers, and public discourse. Do not use this skill to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation.","For Deepfake & Synthetic Media Triage, tie the suspicion rating to concrete evidence — specific tell-tale observations with diagnostic weight, reverse-search provenance findings, metadata checks, and contextual cross-references against verifiable external facts — and state explicitly what could not be assessed at triage level and what escalation an evidentiary conclusion would require.","High for Deepfake & Synthetic Media Triage: the suspicion rating rests on a pattern of independently observed anomalies or a strong provenance disconfirmation rather than any single tell-tale, the reverse-search trace and contextual plausibility assessment corroborate the rating, and no unresolved contradiction would change the escalation recommendation — while the output remains explicitly non-evidentiary.","Unsafe: 'Use Deepfake & Synthetic Media Triage outputs to increase persuasive impact, exploit audience vulnerabilities, or optimize narrative manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Deepfake & Synthetic Media Triage to assess supplied material for manipulation indicators and recommend resilience measures with media artifact, claim context, and available metadata' -> produce bounded findings with evidence and uncertainty labels.",skills/cognitive_security/deepfake_synthetic_media_triage/SKILL.md
